id,originalName,Name_CN,Name_EN,nationality,birthYear,deathYear,note,reviewStatus,createdAt,updatedAt,deletedAt
01a013e6-e885-766b-b9db-315d518adeeb,Albert Camus,阿尔贝·加缪,,FR,1913,1960,,reviewed,2026-08-18T08:50:43+00:00,2026-08-18T08:50:43+00:00,
01a013e6-e885-766b-b9db-315e52f41b7d,Лев Николаевич Толстой,列夫·托尔斯泰,,RU,1828,1910,,reviewed,2026-08-18T08:50:43+00:00,2026-08-18T08:50:43+00:00,
01a013e6-e886-7360-b888-ca613085ca88,Gabriel José García Márquez,加西亚·马尔克斯,,CO,1927,2014,,reviewed,2026-08-20T17:23:50+00:00,2026-08-20T17:23:50+00:00,
01a013e6-e886-7360-b888-ca62b7350948,Robert Maynard Pirsig,罗伯特·M.波西格,,US,1928,2017,,reviewed,2026-08-18T08:50:43+00:00,2026-08-18T08:50:43+00:00,
01a013eb-4662-71a2-8d30-d688ece9a063,Henry David Thoreau,亨利·戴维·梭罗,,US,1817,1862,,reviewed,2026-08-18T08:50:43+00:00,2026-08-18T08:50:43+00:00,
01a013f1-1c6e-7269-a405-f3520bca2da8,Filmer Stuart Cuckow Northrop,F.S.C.诺斯罗普,,US,1893,1992,,reviewed,2026-08-18T08:50:43+00:00,2026-08-19T05:59:24+00:00,
01a013f1-1c6e-7269-a405-f353134bd626,Anonymous,佚名,,,,,,reviewed,2026-08-18T08:50:43+00:00,2026-08-18T08:50:43+00:00,
01a0148e-25d9-766e-b274-b2639519ac50,Jean Giono,让·吉奥诺,,FR,1895,1970,,reviewed,2026-08-20T17:23:50+00:00,2026-08-20T17:23:50+00:00,
01a017cc-f41c-712b-b63a-24773de69c12,张爱玲,张爱玲,,CN,1920,1995,,reviewed,2026-08-20T11:31:57+00:00,2026-08-20T11:31:57+00:00,
01a017d9-8ee7-7513-a6d8-e2fed3bd0434,Oscar Fingal O'Fflahertie Wills Wilde,王尔德,Oscar Fingal O'Fflahertie Wills Wilde,IE,1854,1900,,reviewed,2026-08-20T17:23:50+00:00,2026-08-20T17:23:50+00:00,
01a01887-be01-7589-b0b7-b6fec3d2811b,むらかみ はるき,村上春树,,JP,1949,,,reviewed,2026-08-19T05:39:04+00:00,2026-08-19T06:28:15+00:00,
01a018b4-a243-77b8-abac-63ba1b51e6ca,Francis Scott Key Fitzgerald,弗朗西斯·斯科特·菲茨杰拉德,Francis Scott Key Fitzgerald,US,1896,1940,,reviewed,2026-08-19T06:28:06+00:00,2026-08-19T06:28:11+00:00,
01a018dd-ce2a-7690-972b-11c60fcc2b08,Фёдор Михайлович Достоевский,费奥多尔·陀思妥耶夫斯基,,RU,1821,1881,,reviewed,2026-08-19T07:13:04+00:00,2026-08-19T08:08:53+00:00,
01a018e3-a01e-7184-960d-4b98939452cc,Marie-Henri Beyle,马利-亨利·贝尔(笔名：司汤达）,,FR,1783,1842,,reviewed,2026-08-19T07:19:25+00:00,2026-08-19T08:09:04+00:00,
01a018ef-484e-779e-b53e-e95d8ae41a9f,George Orwell,乔治·奥威尔,George Orwell,GB,1903,1950,,reviewed,2026-08-19T07:32:09+00:00,2026-08-19T07:33:52+00:00,
01a018f6-2b47-743a-a9b7-e1a755d0369a,Valentin-Louis-Georges-Eugène-Marcel Proust,马塞尔·普鲁斯特,,FR,1871,1922,,reviewed,2026-08-19T07:39:41+00:00,2026-08-19T08:08:57+00:00,
01a01905-47d9-76de-b138-569429a5b005,Honoré de Balzac,奥诺雷·德·巴尔扎克,,FR,1799,1850,,reviewed,2026-08-19T07:56:11+00:00,2026-08-19T08:09:00+00:00,
01a01910-b3aa-76b9-a80b-893aa613548c,Ива́н Серге́евич Турге́нев,伊万·屠格涅夫,,RU,1818,1883,,reviewed,2026-08-19T08:08:40+00:00,2026-08-19T08:08:48+00:00,
01a01db0-2da7-7113-9ad5-58ea0849056c,Author-Test,作者测试用例,,,,,,draft,2026-08-20T05:41:20+00:00,2026-08-20T05:41:20+00:00,2026-08-20T05:41:26+00:00
01a02382-f6ba-70c3-8ecf-a77662b5eede,Immanuel Kant,伊曼努尔·康德,,DE,1724,1804,,reviewed,2026-08-21T08:49:40+00:00,2026-08-21T08:49:49+00:00,
01a02389-9010-740b-a572-84a335cd88f6,老子,老子,,CN,-571,,,reviewed,2026-08-21T08:56:53+00:00,2026-08-21T08:56:56+00:00,
01a02411-a5b6-7242-a27d-5f8088fdedf7,Georges Sand,乔治·桑,,FR,1804,1876,,reviewed,2026-08-21T11:25:31+00:00,2026-08-21T11:27:33+00:00,
01a0251f-963d-765a-b752-113e4e29e1c6,Михаи́л Алекса́ндрович Шо́лохов,米哈伊尔·肖洛霍夫,,RU,1905,1984,,reviewed,2026-08-21T16:20:22+00:00,2026-08-21T16:24:30+00:00,
01a0252a-81fe-722e-a976-5e6f41c24fda,Herman Melville,赫尔曼·梅尔维尔,Herman Melville,US,1819,1891,,reviewed,2026-08-21T16:32:17+00:00,2026-08-21T16:33:37+00:00,
01a029be-3292-73ca-81ca-6ebad2810189,Virginia Woolf,弗吉尼亚·伍尔夫,Virginia Woolf,GB,,,,reviewed,2026-08-22T13:52:05+00:00,2026-08-22T13:55:10+00:00,
01a029c4-5248-7636-8baa-a185220ac571,鲁迅,鲁迅,,CN,1881,1936,,reviewed,2026-08-22T13:58:47+00:00,2026-08-22T14:13:42+00:00,
01a029c6-37ae-73c3-8469-33bce1b81739,冯骥才,冯骥才,,CN,1942,,,reviewed,2026-08-22T14:00:51+00:00,2026-08-22T14:13:45+00:00,
01a029c8-d4d2-75f7-a68c-71ca1a65d4c9,Raymond Thornton Chandler,雷蒙德·钱德勒,,CN,1888,1959,,reviewed,2026-08-22T14:03:42+00:00,2026-08-22T14:13:48+00:00,
01a02caa-9044-7614-8f37-282f8ee8977b,Gustave Flaubert,居斯塔夫·福楼拜,,FR,1821,1880,,reviewed,2026-08-23T03:29:30+00:00,2026-08-23T03:35:56+00:00,
01a02cbd-de45-7512-a4f7-fd303a2f990e,Thomas Lanier Williams III,Thomas Lanier Williams III,,US,1911,1983,,reviewed,2026-08-23T03:50:35+00:00,2026-08-23T03:50:35+00:00,
01a02ccc-7cc6-70dc-9157-959887f5ca10,Romain Rolland,罗曼·罗兰,,FR,1866,1944,,reviewed,2026-08-23T04:06:33+00:00,2026-08-23T04:06:33+00:00,
01a02ce1-4a85-747f-af3d-2a3475131944,おお の やすまろ,太安万侣,,JP,,723,,reviewed,2026-08-23T04:29:17+00:00,2026-08-23T04:29:17+00:00,
01a02cea-2404-720a-b3a9-ac1688f22f91,Charles John Huffam Dickens,查尔斯·狄更斯,Charles John Huffam Dickens,GB,1912,1970,,reviewed,2026-08-23T04:38:57+00:00,2026-08-23T04:38:57+00:00,
01a02cf4-510b-77da-a987-f67f1ae3cad2,Charles Lutwidge Dodgson,刘易斯·卡罗尔,Charles Lutwidge Dodgson,GB,1832,1898,"查尔斯·路特维奇·道奇森, 笔名刘易斯·卡罗尔",reviewed,2026-08-23T04:50:04+00:00,2026-08-23T04:50:04+00:00,
01a02cfb-9f15-7063-aa99-ee8665e50f45,Jonathan Swift,乔纳森·斯威夫特,Jonathan Swift,GB,1667,1745,,reviewed,2026-08-23T04:58:02+00:00,2026-08-23T04:58:02+00:00,
01a02cff-32d8-729d-9b60-313d27ad2599,Franz Kafka,弗朗茨·卡夫卡,,DE,1883,1924,,reviewed,2026-08-23T05:01:57+00:00,2026-08-23T05:01:57+00:00,
01a02df7-f388-7390-b8fa-d29b3d131647,Ernest Miller Hemingway,欧内斯特·海明威,Ernest Miller Hemingway,US,1899,1961,,reviewed,2026-08-23T09:33:39+00:00,2026-08-23T09:33:39+00:00,
01a02dfd-a918-77d1-acd4-126eab2b7e3c,Lyman Frank Baum,莱曼·弗兰克·鲍姆,Lyman Frank Baum,US,1856,1919,又译为富兰克·鲍姆,reviewed,2026-08-23T09:39:53+00:00,2026-08-23T09:39:53+00:00,
01a02e04-6756-72dd-aac0-78b6b40d4369,Νίκος Καζαντζάκης,尼科斯·卡赞扎基斯,,GR,1883,1957,,reviewed,2026-08-23T09:47:15+00:00,2026-08-23T09:47:15+00:00,
01a02edd-99c5-73a7-a3e2-156a98155bb6,是否,是否,,,,,,reviewed,2026-08-23T13:44:29+00:00,2026-08-23T13:44:42+00:00,2026-08-23T13:44:42+00:00
01a02edd-9aea-73f6-b64f-587e2d3fa25a,发顺丰,发顺丰,,,,,,reviewed,2026-08-23T13:44:30+00:00,2026-08-23T13:44:39+00:00,2026-08-23T13:44:39+00:00
01a02f50-e612-71ea-86f7-4f111b7b6a24,刘慈欣,刘慈欣,,CN,1963,,,reviewed,2026-08-23T15:50:26+00:00,2026-08-23T15:52:26+00:00,
01a02f50-e754-7185-b032-fc3ea26a5c69,Rachel Louise Carson,蕾切尔·卡森,Rachel Louise Carson,US,1907,1964,,reviewed,2026-08-23T15:50:26+00:00,2026-08-23T15:53:41+00:00,
01a02f58-a4c6-74c1-a4eb-fdf0d7a4cc14,Sir Arthur Ignatius Conan,阿瑟·柯南·道尔,Sir Arthur Ignatius Conan,GB,1859,1930,,reviewed,2026-08-23T15:58:53+00:00,2026-08-23T15:58:53+00:00,
