id,language,originalTitle,Title_CN,Title_EN,Title_Other,author_id,publicationYear,creationYear,genre,reviewStatus,createdAt,updatedAt,deletedAt
01a013e8-907e-77f3-83c6-bce355a36268,fr,L'Envers et l'Endroit,反与正,Betwixt and Between,The Wrong Side and the Right Side,01a013e6-e885-766b-b9db-315d518adeeb,1937,,Non-fiction,draft,2026-08-18T06:35:02.746,2026-08-19T06:26:15+00:00,
01a013e8-907e-77f3-83c6-bce48f19b60d,fr,Noces,婚礼,Nuptials,,01a013e6-e885-766b-b9db-315d518adeeb,1938,,Non-fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bce5cc3de32c,fr,L'Étranger,局外人,The Stranger,异乡人 / The Outsider,01a013e6-e885-766b-b9db-315d518adeeb,1942,,Fiction,reviewed,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bce68afa9460,fr,Le Mythe de Sisyphe,西西弗神话,The Myth of Sisyphus,,01a013e6-e885-766b-b9db-315d518adeeb,1942,,Non-fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bce723d10e4d,fr,La Peste,鼠疫,The Plague,瘟疫,01a013e6-e885-766b-b9db-315d518adeeb,1947,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bce8b8f13c2f,fr,L'Homme révolté,反抗者,The Rebel,,01a013e6-e885-766b-b9db-315d518adeeb,1951,,Non-fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bce968ab6045,fr,L'Été,夏天,Summer,,01a013e6-e885-766b-b9db-315d518adeeb,1954,,Non-fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcead27e01ac,fr,La Chute,堕落,The Fall,坠落,01a013e6-e885-766b-b9db-315d518adeeb,1956,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcebbb7abaeb,fr,L'Exil et le Royaume,流放与王国,Exile and the Kingdom,,01a013e6-e885-766b-b9db-315d518adeeb,1957,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcec0c82ea62,fr,Chroniques algériennes,阿尔及利亚评论集,Algerian Chronicles,,01a013e6-e885-766b-b9db-315d518adeeb,1958,,Non-fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bced04669101,fr,La Mort heureuse,快乐的死,A Happy Death,,01a013e6-e885-766b-b9db-315d518adeeb,1971,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcee862678bb,fr,Le Premier Homme,第一人,The First Man,最初之人,01a013e6-e885-766b-b9db-315d518adeeb,1994,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcef2f7317f7,ru,Детство,童年,Childhood,,01a013e6-e885-766b-b9db-315e52f41b7d,1852,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcf02bbc66a0,ru,Отрочество,少年,Boyhood,,01a013e6-e885-766b-b9db-315e52f41b7d,1854,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcf139e15680,ru,Севастопольские рассказы,塞瓦斯托波尔纪事,Sevastopol Sketches,,01a013e6-e885-766b-b9db-315e52f41b7d,1856,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcf27f09316d,ru,Утро помещика,一个地主的早晨,A Landowner's Morning,,01a013e6-e885-766b-b9db-315e52f41b7d,1856,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcf3f16b5389,ru,Два гусара,两个骠骑兵,Two Hussars,,01a013e6-e885-766b-b9db-315e52f41b7d,1856,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcf4f7be441b,ru,Юность,青年,Youth,,01a013e6-e885-766b-b9db-315e52f41b7d,1856,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcf5d424dfe1,ru,Семейное счастье,家庭幸福,Family Happiness,,01a013e6-e885-766b-b9db-315e52f41b7d,1859,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcf63be341ba,ru,Поликушка,波利库什卡,Polikúshka,,01a013e6-e885-766b-b9db-315e52f41b7d,1860,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907e-77f3-83c6-bcf71dbf5474,ru,Казаки,哥萨克,The Cossacks,,01a013e6-e885-766b-b9db-315e52f41b7d,1863,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907f-7396-b9b5-d5361417b26c,ru,Война и мир,战争与和平,War and Peace,,01a013e6-e885-766b-b9db-315e52f41b7d,1869,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907f-7396-b9b5-d537e6d9016c,ru,Кавказский пленник,高加索的俘虏,A Prisoner of the Caucasus,,01a013e6-e885-766b-b9db-315e52f41b7d,1872,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907f-7396-b9b5-d538a2a9bf38,ru,Анна Каренина,安娜·卡列尼娜,Anna Karenina,,01a013e6-e885-766b-b9db-315e52f41b7d,1877,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907f-7396-b9b5-d53912342a3b,ru,Исповедь,忏悔录,A Confession,,01a013e6-e885-766b-b9db-315e52f41b7d,1882,,Non-fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907f-7396-b9b5-d53acedc036c,ru,В чём моя вера?,我的信仰,What I Believe,My Religion,01a013e6-e885-766b-b9db-315e52f41b7d,1884,,Non-fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907f-7396-b9b5-d53b474cab98,ru,Смерть Ивана Ильича,伊凡·伊里奇之死,The Death of Ivan Ilyich,,01a013e6-e885-766b-b9db-315e52f41b7d,1886,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907f-7396-b9b5-d53cab1ab2f1,ru,Много ли человеку земли нужно?,一个人需要多少土地,How Much Land Does a Man Need?,,01a013e6-e885-766b-b9db-315e52f41b7d,1886,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907f-7396-b9b5-d53dfeb89a36,ru,Власть тьмы,黑暗的势力,The Power of Darkness,,01a013e6-e885-766b-b9db-315e52f41b7d,1886,,Drama,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
01a013e8-907f-7396-b9b5-d53efb349dff,ru,Холстомер,霍斯托密尔,Kholstomer,Strider,01a013e6-e885-766b-b9db-315e52f41b7d,1886,,Fiction,draft,2026-08-18T06:35:02.746000,2026-08-18T08:50:43+00:00,
